번호	recipeName	ingredients
260	카레가자미조림	고구마 당근 양파 파프리카 양송이버섯 브로콜리 가자미 밀가루 달걀 버터 치킨스톡 코코넛 밀크 생크림 청양고추 양념 마늘 토마토페이스트 카레가루 강황가루
261	타콤소스닭조림	양파 셀러리 당근 사과 양송이버섯 새송이버섯 가지 토마토 단호박 브로콜리 닭가슴살 닭육수 닭밑간양념 마늘 생강 양념 마늘 월계수잎 오레가노 바질 파슬리가루
262	토마토콩조림	콩대두 양파 양송이버섯 토마토 양념 설탕 파슬리가루
263	관자해장국	풋고추 붉은 고추 무 당근 양파 노란 파프리카 두부 육수 콩나물 다시마 관자 물 토마토소스 토마토 붉은 파프리카 고춧가루 발 사믹식초 양념 마늘
264	견과류들깨해장탕	느타리버섯 양송이버섯 표고버섯 두부 애호박 양파 밤 호두 멸치다시마육수 양념 들기름 들깻가루
265	뿌리채소들깨수제비	다시마 감자 연근 마른 미역 새심 찹쌀가루 물 양념 들기름 마늘 들깻가루 국간장
266	대구지리탕	대구 미나리 청양고추 붉은 고추 콩나물 쑥갓 반죽 쑥가루 밀가루 육수 다시마 북어 무 물 양념 마늘 생강
267	양지해장국	쇠고기육수 느타리버섯 애호박 청양고추 대파 방울토마토 콩나물 양념 마늘 저염국간장
268	토마토돼지고기해장국	양파 청양고추 토마토 돼지고기사태 방울토마토 육수 무 다시마 대파 마른 표고버섯 양파 물 양념 마늘 바질가루 설탕
269	효종갱	배추 무 느타리버섯 표고버섯 전복 육수 쇠고기양지 갈비 양파 마늘 물 양념 저염간장
270	해물토마토김치찌개	김치 토마토 양파 오징어 홍합 바지락 주꾸미 데친 미나리 쑥갓 느타리버섯 팽이버섯 어슷 썬 풋고추 김치주머니 소 새우 부추 불린 당면 불린 무말랭이 녹말가루 달걀
271	닭고기김치찌개	닭가슴살 애호박 미나리 청양고추 두부 김치 참기름 느타리버섯 달걀 육수 다시마 무 대파 양파 마른 고추 멸치 마늘 청주 물
272	완자김치찌개	콩나물 김치 두부 붉은 고추 돼지고기등심 새우젓 육수 대파 마늘 쇠고기
273	백김치콩비지찌개	풋고추 백김치 콩비지 양념 참기름 마늘 간장
274	오징어김치찌개	오징어 두부 팽이버섯 붉은 고추 고구마 콩나물 김치 쑥갓 육수 무 다시마 대파 멸치 물 양념 참기름 들깻가루
275	해물김치찌개	주꾸미 김치 무 마늘 대파 양파 두부 참기름 배즙 팽이버섯 육수 다시마 멸치 물
276	맑은부대찌개	느타리버섯 두부 콩나물 배추 미나리 돼지고기 쇠고기 불린 당면 조랭이떡 다시마육수 다시마 양파 대파 무 마른 고추 고기완자양념 생강즙 파 마늘
277	나가사키부대찌개	통조림 햄 우유 실곤약 양파 느타리버섯 표고버섯 팽이버섯 청양고추 붉은 고추 감자 무 두부 애호박 깻잎 쑥갓 완자 돼지고기 파 마늘 밀가루 달걀노른자 육수 사골육수 다시마 양념 들깻가루
278	삼계부대찌개	닭가슴살 당근 붉은 고추 풋고추 대파 쑥갓 표고버섯 애호박 김치 팽이버섯 당면 숙주 떡 육수 당귀 대추 오가피 함초 양념장 겨자가루 고춧가루 콩가루 쌀겨 마늘
279	쑥갓부대찌개	통조림 햄 애호박 두부 팽이버섯 청양고추 김치 쑥갓 육수 다시마 물 양념장 설탕 고춧가루 고추장
280	들깨순두부찌개	굴 멸치 표고버섯 느타리버섯 무 양파 미나리 대파 붉은 고추 순두부 양념 마늘 들깻가루 국간장
281	백태순두부찌개	콩백태 느타리버섯 표고버섯 애호박 양파 대파 붉은 고추 풋고추 바지락 저염된장 새우 순두부 육수 마른 다시마 멸치 물
282	버섯순두부찌개	표고버섯 애호박 감자 양파 미나리 부추 대파 청양고추 순두부 육수 다시마 표고버섯 밑동 물 양념 저염된장 찹쌀가루 들깻가루 저염국간장
283	토란순두부찌개	토란 표고버섯 붉은 고추 청양고추 백합 들깻가루 순두부
284	새우단배추된장국	마늘 양파 애호박 단배추 대파 두부 마른 새우 육수 무 멸치 다시마 물 양념 된장 표고버섯가루 날콩가루
285	검은콩보리된장찌개	검은콩 애호박 양파 검은콩두부 표고버섯 붉은 고추 청양고추 대파 육수 바지락 멸치 다시마 보리된장 보리 저염된장
286	단호박배추된장국	단호박 배추 새송이버섯 홍고추 육수 대파 양파 물 양념 된장
287	된장냉국	가다랑어포 오이 깻잎 육수 무 다시마 대파 물 된장양념 콩가루 설탕 식초 대파 마늘 양파 청양고추 저염된장 참기름
288	들깨된장육개장	숙주 느타리버섯 양파 대파 청양고추 얼갈이배추 육수 무 돼지고기사태 다시마 청주 보리새우 물 양념장 고춧가루 들깻가루 마늘 된장
289	삼색묵냉국	도토리묵 메밀묵 청포묵 미니양배추 적양파 양파 오이 래디시 당근 아스파라거스 파프리카 붉은 고추 풋고추 달걀 목이버섯 쑥갓 육수 무 다시마 멸치 대파 마늘 생강 쇠고기 물 양념 미소된장 들깻가루 참깨 검은깨
290	샤브된장국	우삼겹 깻잎 느타리버섯 팽이버섯 쪽파 송송 썬 청양고추 송송 썬 붉은 고추 육수 닭가슴살 대파 마늘 양념 저염된장 마늘
